Patient ID,Split,Number of Splits
patient00244,['train'],1
patient00245,['val'],1
patient00246,['train'],1
patient00247,['train'],1
patient00248,['test'],1
patient00249,['train'],1
patient00250,['train'],1
patient00251,['test'],1
patient00252,['val'],1
patient00253,['train'],1
patient00254,['train'],1
patient00255,['test'],1
patient00256,['train'],1
patient00257,['train'],1
patient00258,['train'],1
patient00259,['train'],1
patient00260,['val'],1
patient00261,['train'],1
patient00262,['test'],1
patient00263,['train'],1
patient00264,['train'],1
patient00265,['train'],1
patient00266,['train'],1
patient00267,['train'],1
patient00268,['train'],1
patient00269,['train'],1
patient00270,['train'],1
patient00271,['val'],1
patient00272,['val'],1
patient00273,['train'],1
patient00274,['train'],1
patient00275,['train'],1
patient00276,['val'],1
patient00277,['train'],1
patient00278,['train'],1
patient00279,['train'],1
patient00280,['train'],1
patient00281,['train'],1
patient00282,['train'],1
patient00283,['train'],1
patient00284,['train'],1
patient00285,['train'],1
patient00286,['train'],1
patient00287,['train'],1
patient00288,['train'],1
patient00289,['train'],1
patient00290,['val'],1
patient00291,['train'],1
patient00292,['train'],1
patient00293,['train'],1
patient00294,['train'],1
patient00295,['train'],1
patient00296,['train'],1
patient00297,['train'],1
patient00298,['val'],1
patient00299,['test'],1
patient00300,['train'],1
patient00301,['test'],1
patient00302,['train'],1
patient00303,['train'],1
patient00304,['val'],1
patient00305,['train'],1
patient00306,['test'],1
patient00307,['train'],1
patient00308,['test'],1
patient00309,['train'],1
patient00310,['train'],1
patient00311,['train'],1
patient00312,['train'],1
patient00313,['train'],1
patient00314,['train'],1
patient00315,['train'],1
patient00316,['train'],1
patient00317,['test'],1
patient00318,['train'],1
patient00319,['train'],1
patient00320,['train'],1
patient00321,['train'],1
patient00322,['train'],1
patient00323,['val'],1
patient00324,['train'],1
patient00325,['test'],1
patient00326,['train'],1
patient00327,['train'],1
patient00328,['train'],1
patient00329,['train'],1
patient00330,['train'],1
patient00331,['train'],1
patient00332,['test'],1
patient00333,['test'],1
patient00334,['train'],1
patient00335,['train'],1
patient00336,['train'],1
patient00337,['train'],1
patient00338,['train'],1
patient00339,['train'],1
patient00340,['test'],1
patient00341,['train'],1
patient00342,['train'],1
patient00343,['val'],1
patient00344,['train'],1
patient00345,['val'],1
patient00346,['train'],1
patient00347,['train'],1
patient00348,['train'],1
patient00349,['train'],1
patient00350,['train'],1
patient00351,['test'],1
patient00352,['val'],1
patient00353,['test'],1
patient00354,['train'],1
patient00355,['test'],1
patient00356,['train'],1
patient00357,['train'],1
patient00358,['train'],1
patient00359,['train'],1
patient00360,['train'],1
patient00361,['train'],1
patient00362,['train'],1
patient00363,['train'],1
patient00364,['train'],1
patient00365,['train'],1
patient00366,['val'],1
patient00367,['test'],1
patient00368,['val'],1
patient00369,['train'],1
patient00370,['train'],1
patient00371,['train'],1
patient00372,['test'],1
patient00373,['train'],1
patient00374,['train'],1
patient00375,['test'],1
patient00376,['train'],1
patient00377,['train'],1
patient00378,['train'],1
patient00379,['train'],1
patient00380,['train'],1
patient00381,['train'],1
patient00382,['test'],1
patient00383,['test'],1
patient00384,['val'],1
patient00385,['train'],1
patient00386,['train'],1
patient00387,['train'],1
patient00388,['train'],1
patient00389,['train'],1
patient00390,['train'],1
patient00391,['train'],1
patient00392,['train'],1
patient00393,['train'],1
patient00394,['train'],1
patient00395,['test'],1
patient00396,['train'],1
patient00397,['train'],1
patient00398,['train'],1
patient00399,['val'],1
patient00400,['train'],1
patient00401,['train'],1
patient00402,['train'],1
patient00403,['train'],1
patient00404,['train'],1
patient00405,['train'],1
patient00406,['train'],1
patient00407,['train'],1
patient00408,['train'],1
patient00409,['test'],1
patient00410,['train'],1
patient00411,['train'],1
patient00412,['val'],1
patient00413,['train'],1
patient00414,['val'],1
patient00415,['train'],1
patient00416,['test'],1
patient00417,['test'],1
patient00418,['train'],1
patient00419,['train'],1
patient00420,['train'],1
patient00421,['train'],1
patient00422,['train'],1
patient00423,['val'],1
patient00424,['train'],1
patient00425,['train'],1
patient00426,['train'],1
patient00427,['train'],1
patient00428,['val'],1
patient00429,['train'],1
patient00430,['test'],1
patient00431,['train'],1
patient00432,['train'],1
patient00433,['val'],1
patient00434,['train'],1
patient00435,['train'],1
patient00436,['train'],1
patient00437,['train'],1
patient00438,['train'],1
patient00439,['test'],1
patient00440,['test'],1
patient00441,['train'],1
patient00442,['train'],1
patient00443,['train'],1
patient00444,['train'],1
patient00445,['train'],1
patient00446,['train'],1
patient00447,['train'],1
patient00448,['train'],1
patient00449,['train'],1
patient00450,['train'],1
patient00451,['val'],1
patient00452,['train'],1
patient00453,['train'],1
patient00454,['train'],1
patient00455,['train'],1
patient00456,['train'],1
patient00457,['train'],1
patient00458,['train'],1
patient00459,['train'],1
patient00460,['train'],1
patient00461,['train'],1
patient00462,['train'],1
patient00463,['train'],1
patient00464,['train'],1
patient00465,['val'],1
patient00466,['train'],1
patient00467,['train'],1
patient00468,['train'],1
patient00469,['train'],1
patient00470,['train'],1
patient00471,['train'],1
patient00472,['val'],1
patient00473,['train'],1
patient00474,['train'],1
patient00475,['train'],1
patient00476,['train'],1
patient00477,['train'],1
patient00478,['train'],1
patient00479,['test'],1
patient00480,['val'],1
patient00481,['test'],1
patient00482,['test'],1
patient00483,['test'],1
patient00484,['val'],1
patient00485,['train'],1
patient00486,['train'],1
patient00487,['train'],1
patient00488,['train'],1
patient00489,['train'],1
patient00490,['train'],1
patient00491,['train'],1
patient00492,['train'],1
patient00493,['train'],1
patient00494,['train'],1
patient00495,['test'],1
patient00496,['test'],1
patient00497,['train'],1
patient00498,['test'],1
patient00499,['train'],1
patient00500,['train'],1
patient00501,['train'],1
patient00502,['train'],1
patient00503,['train'],1
patient00504,['train'],1
patient00505,['train'],1
patient00506,['train'],1
patient00507,['train'],1
patient00508,['train'],1
patient00509,['train'],1
patient00510,['train'],1
patient00511,['train'],1
patient00512,['train'],1
patient00513,['train'],1
patient00514,['train'],1
patient00515,['test'],1
patient00516,['train'],1
patient00517,['train'],1
patient00518,['train'],1
patient00519,['train'],1
patient00520,['train'],1
patient00521,['train'],1
patient00522,['train'],1
patient00523,['train'],1
patient00524,['train'],1
patient00525,['train'],1
patient00526,['train'],1
patient00527,['train'],1
patient00528,['test'],1
patient00529,['train'],1
patient00530,['test'],1
patient00531,['val'],1
patient00532,['train'],1
patient00533,['val'],1
patient00534,['train'],1
patient00535,['val'],1
patient00536,['test'],1
patient00537,['train'],1
patient00538,['train'],1
patient00539,['val'],1
patient00540,['train'],1
patient00541,['train'],1
patient00542,['train'],1
patient00543,['train'],1
patient00544,['test'],1
patient00545,['val'],1
patient00546,['train'],1
patient00547,['train'],1
patient00548,['train'],1
patient00549,['test'],1
patient00550,['train'],1
patient00551,['train'],1
patient00552,['train'],1
patient00553,['val'],1
patient00554,['train'],1
patient00555,['train'],1
patient00556,['val'],1
patient00557,['train'],1
patient00558,['val'],1
patient00559,['train'],1
patient00560,['train'],1
patient00561,['train'],1
patient00562,['train'],1
patient00563,['train'],1
patient00564,['train'],1
patient00565,['train'],1
patient00566,['train'],1
patient00567,['train'],1
patient00568,['test'],1
patient00569,['train'],1
patient00570,['train'],1
patient00571,['val'],1
patient00572,['train'],1
patient00573,['train'],1
patient00574,['train'],1
patient00575,['train'],1
patient00576,['val'],1
patient00577,['val'],1
patient00578,['train'],1
patient00579,['train'],1
patient00580,['train'],1
patient00581,['train'],1
patient00582,['train'],1
patient00583,['val'],1
patient00584,['test'],1
patient00585,['test'],1
patient00586,['train'],1
patient00587,['train'],1
patient00588,['train'],1
patient00589,['val'],1
patient00590,['test'],1
patient00591,['val'],1
patient00592,['train'],1
patient00593,['train'],1
patient00594,['train'],1
patient00595,['train'],1
patient00596,['train'],1
patient00597,['train'],1
patient00598,['train'],1
patient00599,['train'],1
patient00600,['val'],1
patient00601,['train'],1
patient00602,['train'],1
patient00603,['val'],1
patient00604,['train'],1
patient00605,['train'],1
patient00606,['train'],1
patient00607,['train'],1
patient00608,['val'],1
patient00609,['train'],1
patient00610,['val'],1
patient00611,['train'],1
patient00612,['test'],1
patient00613,['train'],1
patient00614,['train'],1
patient00615,['test'],1
patient00616,['train'],1
patient00617,['train'],1
patient00618,['val'],1
patient00619,['train'],1
patient00620,['train'],1
patient00621,['val'],1
patient00622,['train'],1
patient00623,['train'],1
patient00624,['train'],1
patient00625,['train'],1
patient00626,['train'],1
patient00627,['train'],1
patient00628,['train'],1
patient00629,['val'],1
patient00630,['test'],1
patient00631,['train'],1
patient00632,['val'],1
patient00633,['train'],1
patient00634,['train'],1
patient00635,['train'],1
patient00636,['train'],1
patient00637,['train'],1
patient00638,['train'],1
patient00639,['train'],1
patient00640,['train'],1
patient00641,['train'],1
patient00642,['train'],1
patient00643,['train'],1
patient00644,['test'],1
patient00645,['train'],1
patient00646,['train'],1
patient00647,['train'],1
patient00648,['train'],1
patient00649,['train'],1
patient00650,['train'],1
patient00651,['train'],1
patient00652,['val'],1
patient00653,['train'],1
patient00654,['train'],1
patient00655,['train'],1
patient00656,['train'],1
patient00657,['train'],1
patient00658,['train'],1
patient00659,['train'],1
patient00660,['train'],1
patient00661,['train'],1
patient00662,['train'],1
patient00663,['train'],1
patient00664,['train'],1
patient00665,['train'],1
patient00666,['train'],1
patient00667,['train'],1
patient00668,['train'],1
patient00669,['train'],1
patient00670,['train'],1
patient00671,['val'],1
patient00672,['train'],1
patient00673,['train'],1
patient00674,['train'],1
patient00675,['train'],1
patient00676,['train'],1
patient00677,['train'],1
patient00678,['test'],1
patient00679,['train'],1
patient00680,['val'],1
patient00681,['train'],1
patient00682,['train'],1
patient00683,['val'],1
patient00684,['train'],1
patient00685,['train'],1
patient00686,['train'],1
patient00687,['train'],1
patient00688,['train'],1
patient00689,['train'],1
patient00690,['train'],1
patient00691,['train'],1
patient00692,['train'],1
patient00693,['test'],1
patient00694,['train'],1
patient00695,['val'],1
patient00696,['train'],1
patient00697,['train'],1
patient00698,['train'],1
patient00699,['train'],1
patient00700,['train'],1
patient00701,['val'],1
patient00702,['test'],1
patient00703,['train'],1
patient00704,['train'],1
patient00705,['train'],1
patient00706,['test'],1
patient00707,['test'],1
patient00708,['train'],1
patient00709,['train'],1
patient00710,['train'],1
patient00711,['val'],1
patient00712,['val'],1
patient00713,['train'],1
patient00714,['train'],1
patient00715,['train'],1
patient00716,['train'],1
patient00717,['train'],1
patient00718,['train'],1
patient00719,['train'],1
patient00720,['train'],1
patient00721,['train'],1
patient00722,['train'],1
patient00723,['test'],1
patient00724,['train'],1
patient00725,['train'],1
patient00726,['train'],1
patient00727,['train'],1
patient00728,['val'],1
patient00729,['train'],1
patient00730,['train'],1
patient00731,['train'],1
patient00732,['train'],1
patient00733,['train'],1
patient00734,['train'],1
patient00735,['train'],1
patient00736,['train'],1
patient00737,['train'],1
patient00738,['train'],1
patient00739,['train'],1
patient00740,['train'],1
patient00741,['train'],1
patient00742,['test'],1
patient00743,['train'],1
patient00744,['train'],1
patient00745,['test'],1
patient00746,['val'],1
patient00747,['train'],1
patient00748,['train'],1
patient00749,['train'],1
patient00750,['train'],1
patient00751,['train'],1
patient00752,['train'],1
patient00753,['train'],1
patient00754,['train'],1
patient00755,['train'],1
patient00756,['train'],1
patient00757,['train'],1
patient00758,['train'],1
patient00759,['train'],1
patient00760,['train'],1
patient00761,['train'],1
patient00762,['train'],1
patient00763,['train'],1
patient00764,['train'],1
patient00765,['test'],1
patient00766,['test'],1
patient00767,['train'],1
patient00768,['val'],1
patient00769,['train'],1
patient00770,['train'],1
patient00771,['train'],1
patient00772,['train'],1
patient00773,['val'],1
patient00774,['train'],1
patient00775,['val'],1
patient00776,['train'],1
patient00777,['train'],1
patient00778,['val'],1
patient00779,['val'],1
patient00780,['train'],1
patient00781,['train'],1
patient00782,['test'],1
patient00783,['train'],1
patient00784,['train'],1
patient00785,['train'],1
patient00786,['test'],1
patient00787,['train'],1
patient00788,['test'],1
patient00789,['train'],1
patient00790,['train'],1
patient00791,['train'],1
patient00792,['train'],1
patient00793,['train'],1
patient00794,['train'],1
patient00795,['train'],1
patient00796,['train'],1
patient00797,['train'],1
patient00798,['train'],1
patient00799,['train'],1
patient00800,['train'],1
patient00801,['train'],1
patient00802,['train'],1
patient00803,['train'],1
patient00804,['train'],1
patient00805,['train'],1
patient00806,['train'],1
patient00807,['test'],1
patient00808,['test'],1
patient00809,['train'],1
patient00810,['train'],1
patient00811,['train'],1
patient00812,['train'],1
patient00813,['train'],1
patient00814,['train'],1
patient00815,['train'],1
patient00816,['train'],1
patient00817,['val'],1
patient00818,['train'],1
patient00819,['train'],1
patient00820,['train'],1
patient00821,['train'],1
patient00822,['train'],1
patient00823,['train'],1
patient00824,['train'],1
patient00825,['test'],1
patient00826,['train'],1
patient00827,['train'],1
patient00828,['train'],1
patient00829,['train'],1
patient00830,['train'],1
patient00831,['train'],1
patient00832,['train'],1
patient00833,['val'],1
patient00834,['train'],1
patient00835,['train'],1
patient00836,['train'],1
patient00837,['train'],1
patient00838,['train'],1
patient00839,['val'],1
patient00840,['test'],1
patient00841,['train'],1
patient00842,['train'],1
patient00843,['train'],1
patient00844,['train'],1
patient00845,['train'],1
patient00846,['train'],1
patient00847,['val'],1
patient00848,['train'],1
patient00849,['train'],1
patient00850,['train'],1
patient00851,['train'],1
patient00852,['train'],1
patient00853,['train'],1
patient00854,['train'],1
patient00855,['train'],1
patient00856,['train'],1
patient00857,['train'],1
patient00858,['train'],1
patient00859,['train'],1
patient00860,['train'],1
patient00861,['train'],1
patient00862,['train'],1
patient00863,['train'],1
patient00864,['train'],1
patient00865,['test'],1
patient00866,['train'],1
patient00867,['train'],1
patient00868,['train'],1
patient00869,['train'],1
patient00870,['train'],1
patient00871,['train'],1
patient00872,['train'],1
patient00873,['train'],1
patient00874,['train'],1
patient00875,['val'],1
patient00876,['train'],1
patient00877,['train'],1
patient00878,['train'],1
patient00879,['train'],1
patient00880,['val'],1
patient00881,['train'],1
patient00882,['train'],1
patient00883,['train'],1
patient00884,['train'],1
patient00885,['train'],1
patient00886,['train'],1
patient00887,['train'],1
patient00888,['train'],1
patient00889,['val'],1
patient00890,['train'],1
patient00891,['train'],1
patient00892,['train'],1
patient00893,['val'],1
patient00894,['train'],1
patient00895,['train'],1
patient00896,['train'],1
patient00897,['train'],1
patient00898,['train'],1
patient00899,['train'],1
patient00900,['train'],1
patient00901,['val'],1
patient00902,['val'],1
patient00903,['train'],1
patient00904,['train'],1
patient00905,['test'],1
patient00906,['train'],1
patient00907,['val'],1
patient00908,['train'],1
patient00909,['train'],1
patient00910,['train'],1
patient00911,['val'],1
patient00912,['train'],1
patient00913,['train'],1
patient00914,['train'],1
patient00915,['train'],1
patient00916,['train'],1
patient00917,['train'],1
patient00918,['train'],1
patient00919,['train'],1
patient00920,['train'],1
patient00921,['train'],1
patient00922,['val'],1
patient00923,['train'],1
patient00924,['train'],1
patient00925,['train'],1
patient00926,['train'],1
patient00927,['test'],1
patient00928,['train'],1
patient00929,['train'],1
patient00930,['train'],1
patient00931,['val'],1
patient00932,['train'],1
patient00933,['train'],1
patient00934,['train'],1
patient00935,['train'],1
patient00936,['train'],1
patient00937,['val'],1
patient00938,['test'],1
patient00939,['train'],1
patient00940,['train'],1
patient00941,['train'],1
patient00942,['val'],1
patient00943,['test'],1
patient00944,['train'],1
patient00945,['train'],1
patient00946,['train'],1
patient00947,['train'],1
patient00948,['train'],1
patient00949,['train'],1
patient00950,['test'],1
patient00951,['train'],1
patient00952,['train'],1
patient00953,['train'],1
patient00954,['train'],1
patient00955,['train'],1
patient00956,['train'],1
patient00957,['train'],1
patient00958,['train'],1
patient00959,['train'],1
patient00960,['train'],1
patient00961,['train'],1
patient00962,['train'],1
patient00963,['train'],1
patient00964,['train'],1
patient00965,['train'],1
patient00966,['test'],1
patient00967,['train'],1
patient00968,['train'],1
patient00969,['test'],1
patient00970,['train'],1
patient00971,['train'],1
patient00972,['train'],1
patient00973,['train'],1
patient00974,['train'],1
patient00975,['val'],1
patient00976,['train'],1
patient00977,['test'],1
patient00978,['train'],1
patient00979,['train'],1
patient00980,['train'],1
patient00981,['train'],1
patient00982,['train'],1
patient00983,['train'],1
patient00984,['train'],1
patient00985,['test'],1
patient00986,['train'],1
patient00987,['train'],1
patient00988,['train'],1
patient00989,['train'],1
patient00990,['train'],1
patient00991,['val'],1
patient00992,['train'],1
patient00993,['train'],1
patient00994,['train'],1
patient00995,['train'],1
patient00996,['train'],1
patient00997,['train'],1
patient00998,['val'],1
patient00999,['train'],1
patient01000,['train'],1
patient01001,['val'],1
patient01002,['val'],1
patient01003,['train'],1
patient01004,['train'],1
patient01005,['train'],1
patient01006,['train'],1
patient01007,['train'],1
patient01008,['train'],1
patient01009,['train'],1
patient01010,['train'],1
patient01011,['train'],1
patient01012,['train'],1
patient01013,['train'],1
patient01014,['test'],1
patient01015,['train'],1
patient01016,['train'],1
patient01017,['train'],1
patient01018,['train'],1
patient01019,['train'],1
patient01020,['train'],1
patient01021,['train'],1
patient01022,['train'],1
patient01023,['train'],1
patient01024,['train'],1
patient01025,['train'],1
patient01026,['train'],1
patient01027,['train'],1
patient01028,['val'],1
patient01029,['train'],1
patient01030,['val'],1
patient01031,['test'],1
patient01032,['train'],1
patient01033,['train'],1
patient01034,['train'],1
patient01035,['train'],1
patient01036,['train'],1
patient01037,['train'],1
patient01038,['train'],1
patient01039,['train'],1
patient01040,['train'],1
patient01041,['train'],1
patient01042,['test'],1
patient01043,['train'],1
patient01044,['train'],1
patient01045,['train'],1
patient01046,['train'],1
patient01047,['train'],1
patient01048,['train'],1
patient01049,['train'],1
patient01050,['train'],1
patient01051,['train'],1
patient01052,['train'],1
patient01053,['train'],1
patient01054,['train'],1
patient01055,['train'],1
patient01056,['train'],1
patient01057,['train'],1
patient01058,['val'],1
patient01059,['test'],1
patient01060,['train'],1
patient01061,['train'],1
patient01062,['train'],1
patient01063,['train'],1
patient01064,['train'],1
patient01065,['train'],1
patient01066,['train'],1
patient01067,['train'],1
patient01068,['train'],1
patient01069,['train'],1
patient01070,['train'],1
patient01071,['train'],1
patient01072,['train'],1
patient01073,['train'],1
patient01074,['train'],1
patient01075,['train'],1
patient01076,['train'],1
patient01077,['train'],1
patient01078,['train'],1
patient01079,['test'],1
patient01080,['test'],1
patient01081,['test'],1
patient01082,['train'],1
patient01083,['train'],1
patient01084,['train'],1
patient01085,['train'],1
patient01086,['test'],1
patient01087,['train'],1
patient01088,['train'],1
patient01089,['test'],1
patient01090,['train'],1
patient01091,['train'],1
patient01092,['train'],1
patient01093,['train'],1
patient01094,['train'],1
patient01095,['train'],1
patient01096,['train'],1
patient01097,['train'],1
patient01098,['train'],1
patient01099,['train'],1
patient01100,['train'],1
patient01101,['val'],1
patient01102,['train'],1
patient01103,['train'],1
patient01104,['val'],1
patient01105,['train'],1
patient01106,['train'],1
patient01107,['train'],1
patient01108,['train'],1
patient01109,['train'],1
patient01110,['train'],1
patient01111,['train'],1
patient01112,['train'],1
patient01113,['test'],1
patient01114,['train'],1
patient01115,['test'],1
patient01116,['train'],1
patient01117,['val'],1
patient01118,['test'],1
patient01119,['train'],1
patient01120,['train'],1
patient01121,['val'],1
patient01122,['test'],1
patient01123,['train'],1
patient01124,['train'],1
patient01125,['train'],1
patient01126,['train'],1
patient01127,['train'],1
patient01128,['train'],1
patient01129,['train'],1
patient01130,['train'],1
patient01131,['train'],1
patient01132,['train'],1
patient01133,['train'],1
patient01134,['train'],1
patient01135,['train'],1
patient01136,['train'],1
patient01137,['train'],1
patient01138,['train'],1
patient01139,['train'],1
patient01140,['train'],1
patient01141,['train'],1
patient01142,['train'],1
patient01143,['train'],1
patient01144,['train'],1
patient01145,['val'],1
patient01146,['train'],1
patient01147,['val'],1
patient01148,['train'],1
patient01149,['train'],1
patient01150,['train'],1
patient01151,['train'],1
patient01152,['train'],1
patient01153,['train'],1
patient01154,['train'],1
patient01155,['train'],1
patient01156,['train'],1
patient01157,['train'],1
patient01158,['test'],1
patient01159,['train'],1
patient01160,['val'],1
patient01161,['train'],1
patient01162,['train'],1
patient01163,['train'],1
patient01164,['train'],1
patient01165,['train'],1
patient01166,['train'],1
patient01167,['train'],1
patient01168,['train'],1
patient01169,['train'],1
patient01170,['train'],1
patient01171,['train'],1
patient01172,['train'],1
patient01173,['train'],1
patient01174,['val'],1
patient01175,['train'],1
patient01176,['train'],1
patient01177,['train'],1
patient01178,['train'],1
patient01179,['train'],1
patient01180,['val'],1
patient01181,['train'],1
patient01182,['train'],1
patient01183,['train'],1
patient01184,['train'],1
patient01185,['train'],1
patient01186,['train'],1
patient01187,['train'],1
patient01188,['train'],1
patient01189,['train'],1
patient01190,['val'],1
patient01191,['train'],1
patient01192,['train'],1
patient01193,['train'],1
patient01194,['test'],1
patient01195,['train'],1
patient01196,['train'],1
patient01197,['train'],1
patient01198,['val'],1
patient01199,['val'],1
patient01200,['train'],1
patient01201,['val'],1
patient01202,['train'],1
patient01203,['test'],1
patient01204,['train'],1
patient01205,['val'],1
patient01206,['train'],1
patient01207,['train'],1
patient01208,['train'],1
patient01209,['train'],1
patient01210,['train'],1
patient01211,['train'],1
patient01212,['val'],1
patient01213,['train'],1
patient01214,['train'],1
patient01215,['test'],1
patient01216,['train'],1
patient01217,['train'],1
patient01218,['train'],1
patient01219,['train'],1
patient01220,['train'],1
patient01221,['train'],1
patient01222,['train'],1
patient01223,['train'],1
patient01224,['train'],1
patient01225,['train'],1
patient01226,['train'],1
patient01227,['train'],1
patient01228,['train'],1
patient01229,['train'],1
patient01230,['train'],1
patient01231,['train'],1
patient01232,['train'],1
patient01233,['train'],1
patient01234,['train'],1
patient01235,['test'],1
patient01236,['val'],1
patient01237,['test'],1
patient01238,['test'],1
patient01239,['train'],1
patient01240,['train'],1
patient01241,['train'],1
patient01242,['train'],1
patient01243,['train'],1
patient01244,['train'],1
patient01245,['train'],1
patient01246,['train'],1
patient01247,['train'],1
patient01248,['train'],1
patient01249,['train'],1
patient01250,['train'],1
patient01251,['train'],1
patient01252,['train'],1
patient01253,['train'],1
patient01254,['train'],1
patient01255,['train'],1
patient01256,['train'],1
patient01257,['train'],1
patient01258,['train'],1
patient01259,['train'],1
patient01260,['train'],1
patient01261,['train'],1
patient01262,['val'],1
patient01263,['train'],1
patient01264,['val'],1
patient01265,['train'],1
patient01266,['test'],1
patient01267,['train'],1
patient01268,['train'],1
patient01269,['train'],1
