Split,Class,Original Class Folder,Patient ID,Path,Filename,Extension,SHA256,Valid,Width,Height,Mode,Format,Array Shape,Minimum Pixel,Maximum Pixel,Mean Pixel,Standard Deviation,File Size Bytes,MobileNet Resize Successful,Possible Blank Image,Possible All-Black Image,Possible All-White Image
train,Abdomen,Fetal abdomen,patient00705,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00705_Plane2_2_of_2.png,Patient00705_Plane2_2_of_2.png,.png,79a667ed2d342a03b03d3d858fd9848185421b54880cd1da6947d5cc6d2e056e,True,961,663,L,PNG,"(663, 961)",0.0,255.0,35.28933065261644,33.49335884436366,215120,True,False,False,False
train,Abdomen,Fetal abdomen,patient00708,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00708_Plane2_1_of_2.png,Patient00708_Plane2_1_of_2.png,.png,070361b0ea2f3d6d637c65cccf35badd3959b67e467c5758e354d132fe735a46,True,1137,787,L,PNG,"(787, 1137)",0.0,255.0,22.819798193824674,30.09150632947902,196467,True,False,False,False
train,Abdomen,Fetal abdomen,patient00708,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00708_Plane2_2_of_2.png,Patient00708_Plane2_2_of_2.png,.png,5a81a73a96b5cc5668dc45bd9de0fea93fb5b9747508ab7fefa01eef6d339004,True,1137,787,L,PNG,"(787, 1137)",0.0,255.0,24.382364478179387,31.119339923334387,205425,True,False,False,False
train,Abdomen,Fetal abdomen,patient00709,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00709_Plane2_1_of_2.png,Patient00709_Plane2_1_of_2.png,.png,6a2554067635d0495d6c9c704eb4cf24084c634a2fdfe7ebc306a3b0e8407659,True,1137,787,L,PNG,"(787, 1137)",0.0,255.0,31.48323068687634,31.072722326991823,232963,True,False,False,False
train,Abdomen,Fetal abdomen,patient00709,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00709_Plane2_2_of_2.png,Patient00709_Plane2_2_of_2.png,.png,cbe34b27dae0c1acbb6f7b68f19399cf3d671011502eb3c8b22e48054add3cb5,True,1137,787,L,PNG,"(787, 1137)",0.0,255.0,31.008875537957955,32.11803081027145,241025,True,False,False,False
train,Abdomen,Fetal abdomen,patient00710,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00710_Plane2_1_of_1.png,Patient00710_Plane2_1_of_1.png,.png,01bb3ebbbd402f4d06a8def9c22c09ce6bd21806ff564f8bf8aef2f32557b5ac,True,1137,787,L,PNG,"(787, 1137)",0.0,255.0,22.092286820016113,33.58808564073491,173439,True,False,False,False
train,Abdomen,Fetal abdomen,patient00713,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00713_Plane2_1_of_1.png,Patient00713_Plane2_1_of_1.png,.png,7ab4b6026a34ec07150e3e2703bb6452179f0cfb9371ce83c7fc9d9542603e51,True,959,661,L,PNG,"(661, 959)",0.0,255.0,44.649306908513815,47.133777268963314,212754,True,False,False,False
train,Abdomen,Fetal abdomen,patient00716,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00716_Plane2_1_of_1.png,Patient00716_Plane2_1_of_1.png,.png,5f974acf3df17302a0b4edffa7ac5f2b285107f2946caaaeb75b851ec501122b,True,959,661,L,PNG,"(661, 959)",0.0,255.0,35.19530398375767,41.25424587600746,184353,True,False,False,False
train,Abdomen,Fetal abdomen,patient00718,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00718_Plane2_1_of_1.png,Patient00718_Plane2_1_of_1.png,.png,9c05d506034601d7016c4a37054ec41dd484f06842fddac9d9895b3b188e6583,True,961,663,L,PNG,"(663, 961)",0.0,255.0,16.922125802213944,27.972582690280852,162588,True,False,False,False
train,Abdomen,Fetal abdomen,patient00719,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00719_Plane2_1_of_1.png,Patient00719_Plane2_1_of_1.png,.png,5fd85d821893e9f78bd8e4cb2233f801a51f956e0c6a638e2789e3edc550a0a4,True,640,392,L,PNG,"(392, 640)",0.0,250.0,49.047640306122446,41.3311994850521,85007,True,False,False,False
train,Abdomen,Fetal abdomen,patient00720,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00720_Plane2_1_of_1.png,Patient00720_Plane2_1_of_1.png,.png,dc84603a8a64a496466b7833b9fa6f25a8f8dad931da014d5d8606be34f8d79b,True,640,392,L,PNG,"(392, 640)",0.0,250.0,47.33877949617347,39.50330887768619,100243,True,False,False,False
train,Abdomen,Fetal abdomen,patient00721,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00721_Plane2_1_of_1.png,Patient00721_Plane2_1_of_1.png,.png,30ef9a276349232a2d54eb63bf25a0933b9e2dfa2526dfd1ca19bebfeb7ead55,True,640,392,L,PNG,"(392, 640)",0.0,250.0,47.49084821428571,36.197749607402756,101419,True,False,False,False
train,Abdomen,Fetal abdomen,patient00722,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00722_Plane2_1_of_1.png,Patient00722_Plane2_1_of_1.png,.png,9da188b2eb012afd5736327c61e794a263709364db6899b0513e554eae2ab289,True,961,663,L,PNG,"(663, 961)",0.0,255.0,20.583107716791993,27.387562000607634,154749,True,False,False,False
train,Abdomen,Fetal abdomen,patient00724,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00724_Plane2_1_of_1.png,Patient00724_Plane2_1_of_1.png,.png,732266572ebcded6393be73a0867cdb10df8d2d8a5f7c54e1bbb48ec94772cba,True,1137,787,L,PNG,"(787, 1137)",0.0,255.0,29.470576731160158,40.590334859778025,202401,True,False,False,False
train,Abdomen,Fetal abdomen,patient00729,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00729_Plane2_1_of_1.png,Patient00729_Plane2_1_of_1.png,.png,16f2ea4b2f09906533dd657e12b2c6aa5094d14f1198cc40e11e72e56a4a3b3f,True,959,661,L,PNG,"(661, 959)",0.0,255.0,57.29302302101755,44.68498778276304,232765,True,False,False,False
train,Abdomen,Fetal abdomen,patient00731,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00731_Plane2_1_of_1.png,Patient00731_Plane2_1_of_1.png,.png,85c95730aa14e82793f0e3032c1a8522eda32add3f5af00af0221e78b31137fb,True,959,661,L,PNG,"(661, 959)",0.0,255.0,21.202756275053282,24.91299300333185,144785,True,False,False,False
train,Abdomen,Fetal abdomen,patient00733,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00733_Plane2_1_of_1.png,Patient00733_Plane2_1_of_1.png,.png,5899a8001a93bb6dc2ae00747157b285e51c6b105f4ec3e612e300626199d8f1,True,959,661,L,PNG,"(661, 959)",0.0,255.0,25.578921878722003,42.79527612216903,140771,True,False,False,False
train,Abdomen,Fetal abdomen,patient00737,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00737_Plane2_1_of_1.png,Patient00737_Plane2_1_of_1.png,.png,24870a92c54532d418d3181b761be0d21022c2db53109664a31e665d6a3ea19e,True,959,661,L,PNG,"(661, 959)",0.0,255.0,50.369907508924925,38.98379150250971,237456,True,False,False,False
train,Abdomen,Fetal abdomen,patient00738,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00738_Plane2_1_of_1.png,Patient00738_Plane2_1_of_1.png,.png,8a454090523b8b0299eee86d191210504e0ba6b8a6ae49a9e5c72f88e333f24c,True,640,392,L,PNG,"(392, 640)",0.0,250.0,50.85596301020408,36.57003983609298,105210,True,False,False,False
train,Abdomen,Fetal abdomen,patient00739,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00739_Plane2_1_of_1.png,Patient00739_Plane2_1_of_1.png,.png,03c0459ad9d003d545bc4e48bc3e295452b4f7bb7d4e9ac7fc9527ccac6305ce,True,640,392,L,PNG,"(392, 640)",0.0,250.0,43.394411670918366,31.267500263447022,90237,True,False,False,False
train,Abdomen,Fetal abdomen,patient00740,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00740_Plane2_1_of_1.png,Patient00740_Plane2_1_of_1.png,.png,8a57da3abf8dd6813052bbce6d8cb9f2cce27410c6c19acc854079fd33fc948d,True,640,392,L,PNG,"(392, 640)",0.0,250.0,36.39364237882653,29.648719976074574,93492,True,False,False,False
train,Abdomen,Fetal abdomen,patient00743,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00743_Plane2_1_of_1.png,Patient00743_Plane2_1_of_1.png,.png,f91a42929273ae1fee22cec4038f09b750d3c44d726ad9ecc54f918c5980cb93,True,959,661,L,PNG,"(661, 959)",0.0,255.0,27.521936459909227,40.50449587043593,159646,True,False,False,False
train,Abdomen,Fetal abdomen,patient00750,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00750_Plane2_1_of_1.png,Patient00750_Plane2_1_of_1.png,.png,59349e75571b561c9a47cdae411ab5cc0ae98eb4ecdc432a82f9832a49286e6e,True,640,392,L,PNG,"(392, 640)",0.0,254.0,39.759761639030614,46.33167367950849,69246,True,False,False,False
train,Abdomen,Fetal abdomen,patient00751,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00751_Plane2_1_of_1.png,Patient00751_Plane2_1_of_1.png,.png,25b4c64146ab22e8b01efed12eb4a8a1d87299ad8b9147ad001d5649495978ad,True,640,392,L,PNG,"(392, 640)",0.0,250.0,40.52011320153061,31.28637656445859,107187,True,False,False,False
train,Abdomen,Fetal abdomen,patient00754,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00754_Plane2_1_of_1.png,Patient00754_Plane2_1_of_1.png,.png,05f7fa0a30bdf0d01726b311a9a33d3724d71b961b376efe8cc8193cb83fea39,True,640,392,L,PNG,"(392, 640)",0.0,250.0,29.371352838010203,29.34837562925892,77553,True,False,False,False
train,Abdomen,Fetal abdomen,patient00755,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00755_Plane2_1_of_1.png,Patient00755_Plane2_1_of_1.png,.png,abe0a1f048137dc4999eb6822c436152aa28e09782b32f4db0fd50c516a76342,True,959,661,L,PNG,"(661, 959)",0.0,255.0,22.582860992050783,31.729486809089074,155289,True,False,False,False
train,Abdomen,Fetal abdomen,patient00757,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00757_Plane2_1_of_1.png,Patient00757_Plane2_1_of_1.png,.png,81f2a7a22482b2d5aafea872db4660254571f2c4e484d6e18815802c430e1cbe,True,959,661,L,PNG,"(661, 959)",0.0,255.0,29.931190931047375,44.21104721152705,148456,True,False,False,False
train,Abdomen,Fetal abdomen,patient00758,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00758_Plane2_1_of_1.png,Patient00758_Plane2_1_of_1.png,.png,ecf942c62192f17b12f3a86b73fb726b287257f3c24f535052b9baf0f02feb00,True,959,661,L,PNG,"(661, 959)",0.0,255.0,42.70790457154846,39.394076523980125,220407,True,False,False,False
train,Abdomen,Fetal abdomen,patient00763,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00763_Plane2_1_of_1.png,Patient00763_Plane2_1_of_1.png,.png,fae83b715213fd9bfa9cc377ce29754b476deb8ce9eade2772aca3fdd02c570f,True,959,661,L,PNG,"(661, 959)",0.0,255.0,25.720192017971318,36.62743771986268,181143,True,False,False,False
train,Abdomen,Fetal abdomen,patient00767,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00767_Plane2_1_of_1.png,Patient00767_Plane2_1_of_1.png,.png,73d943cb6cab24ae5db7a846fef606492681d5be157158336ba65c4299ed440f,True,959,661,L,PNG,"(661, 959)",0.0,255.0,33.03837204349589,52.00773956508897,145145,True,False,False,False
train,Abdomen,Fetal abdomen,patient00769,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00769_Plane2_1_of_1.png,Patient00769_Plane2_1_of_1.png,.png,089ae5a02117791039dccd82a4c7f4fea955179dd7060e63f55356eb07593998,True,640,392,L,PNG,"(392, 640)",0.0,250.0,39.50746173469388,38.435828839543966,98887,True,False,False,False
train,Abdomen,Fetal abdomen,patient00770,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00770_Plane2_1_of_1.png,Patient00770_Plane2_1_of_1.png,.png,b2e8eab9b4f7c5a084bc15b05d328c8ac36de897da2fe38aea5df1ee1ec0cc7b,True,640,392,L,PNG,"(392, 640)",0.0,250.0,60.85727838010204,48.69807394926719,89397,True,False,False,False
train,Abdomen,Fetal abdomen,patient00771,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00771_Plane2_1_of_1.png,Patient00771_Plane2_1_of_1.png,.png,e683c9f9e8856093906062a07c4e14b902c4f0133b5441f16ee1fdbc542a766f,True,640,392,L,PNG,"(392, 640)",0.0,250.0,46.794519292091834,41.47592103769186,90258,True,False,False,False
train,Abdomen,Fetal abdomen,patient00772,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00772_Plane2_1_of_1.png,Patient00772_Plane2_1_of_1.png,.png,0eeca55673463056b8550c5a42d08cf4b1484f1bbc5c303b1a738fec1e610167,True,640,392,L,PNG,"(392, 640)",0.0,250.0,43.19262197066327,40.28865477645116,81131,True,False,False,False
train,Abdomen,Fetal abdomen,patient00776,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00776_Plane2_1_of_1.png,Patient00776_Plane2_1_of_1.png,.png,ee79ae724e2231f0e31114e3eb371f6f32a0e37a26d8a3db718a9ff7d0cd662a,True,1137,787,L,PNG,"(787, 1137)",0.0,255.0,28.900006593512206,34.182014958480536,190470,True,False,False,False
train,Abdomen,Fetal abdomen,patient00777,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00777_Plane2_1_of_2.png,Patient00777_Plane2_1_of_2.png,.png,7c7b0bf62bec47bdc6a21bee8fa8712f25ec78ccd8dab1ee00353a00807ff230,True,961,663,L,PNG,"(663, 961)",0.0,255.0,33.883278949937456,38.34532761762247,207804,True,False,False,False
train,Abdomen,Fetal abdomen,patient00777,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00777_Plane2_2_of_2.png,Patient00777_Plane2_2_of_2.png,.png,194afc1c9e70a456f230b70c760ccc8344c07023a56553394182989bcee95aa8,True,961,663,L,PNG,"(663, 961)",0.0,255.0,36.36055485189353,38.940516737840326,217697,True,False,False,False
train,Abdomen,Fetal abdomen,patient00785,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00785_Plane2_1_of_1.png,Patient00785_Plane2_1_of_1.png,.png,2e7c6c71e9f8acf2f3c80f371f6b4f3df29e8461c52659a059e0006bb47040a7,True,959,661,L,PNG,"(661, 959)",0.0,255.0,37.711894166105324,36.45585990191867,198001,True,False,False,False
train,Abdomen,Fetal abdomen,patient00789,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00789_Plane2_1_of_1.png,Patient00789_Plane2_1_of_1.png,.png,bb89d3637989487ebc98d8a216ad474c0044f0888de5de5fcd6dae4fc8afdf8d,True,640,392,L,PNG,"(392, 640)",0.0,250.0,73.93323899872449,46.10342080407191,101732,True,False,False,False
train,Abdomen,Fetal abdomen,patient00793,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00793_Plane2_1_of_1.png,Patient00793_Plane2_1_of_1.png,.png,7a614428c3cd044dc6a5d695f182b11d110c0827c2f793dbabd864dca510086b,True,959,661,L,PNG,"(661, 959)",0.0,255.0,39.46248061599719,47.16738991122018,200950,True,False,False,False
train,Abdomen,Fetal abdomen,patient00794,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00794_Plane2_1_of_1.png,Patient00794_Plane2_1_of_1.png,.png,454147171e87ddb5dd35d43019d217108e83eeec1acf9d441d56faf79e08ba5c,True,640,392,L,PNG,"(392, 640)",0.0,250.0,51.842131696428574,38.735711829861536,84264,True,False,False,False
train,Abdomen,Fetal abdomen,patient00795,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00795_Plane2_1_of_1.png,Patient00795_Plane2_1_of_1.png,.png,7e97459976723554ad1611d71732d91db07bd87c59657beaa21e66d26c9ef21c,True,640,392,L,PNG,"(392, 640)",0.0,250.0,63.95434072066327,50.602425127482825,96426,True,False,False,False
train,Abdomen,Fetal abdomen,patient00798,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00798_Plane2_1_of_1.png,Patient00798_Plane2_1_of_1.png,.png,e123f9cdbe75c4602689950f54ef8c55467580d1db26e5cc50c8bbc54c8f7668,True,640,392,L,PNG,"(392, 640)",0.0,251.0,72.51054288903062,49.62534426262679,86612,True,False,False,False
train,Abdomen,Fetal abdomen,patient00799,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00799_Plane2_1_of_1.png,Patient00799_Plane2_1_of_1.png,.png,a0b25734953667151bfef7bb286d3b295463ebcd7fa95f3c40655c0ee698a9b2,True,959,661,L,PNG,"(661, 959)",0.0,255.0,38.99805016256533,34.081392123179704,193859,True,False,False,False
train,Abdomen,Fetal abdomen,patient00801,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00801_Plane2_1_of_1.png,Patient00801_Plane2_1_of_1.png,.png,521fa1b5644644fc1a82443e0392501ebe2537dd5a7f00cd686039ffef1a7b5a,True,959,661,L,PNG,"(661, 959)",0.0,255.0,51.36685812724109,43.282182239953165,247743,True,False,False,False
train,Abdomen,Fetal abdomen,patient00804,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00804_Plane2_1_of_1.png,Patient00804_Plane2_1_of_1.png,.png,0ae757bf773455c17de07e2d7b0d89afdac4d64d47a9ea6cdd742b0e22dbf79a,True,959,661,L,PNG,"(661, 959)",0.0,255.0,58.75953267003103,51.90914079732531,233771,True,False,False,False
train,Abdomen,Fetal abdomen,patient00806,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00806_Plane2_1_of_1.png,Patient00806_Plane2_1_of_1.png,.png,0a0877660dd9117e6eae602d98916213f132d293c9fe766fe72348e5d6a11e4d,True,959,661,L,PNG,"(661, 959)",0.0,255.0,62.18551851320163,47.294206732741756,246474,True,False,False,False
train,Abdomen,Fetal abdomen,patient00810,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00810_Plane2_1_of_1.png,Patient00810_Plane2_1_of_1.png,.png,7128add5755d8309a89cfbae3c11001b61548f1a3f69f17554493265e2194123,True,640,392,L,PNG,"(392, 640)",0.0,250.0,51.8102558992347,43.89393790313574,94693,True,False,False,False
train,Abdomen,Fetal abdomen,patient00811,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00811_Plane2_1_of_2.png,Patient00811_Plane2_1_of_2.png,.png,75175d9b12db816529ed7b425a23305baf5f50db250cef1d3511d80f964465ad,True,640,392,L,PNG,"(392, 640)",0.0,250.0,55.51293447066327,34.49342160064549,92650,True,False,False,False
train,Abdomen,Fetal abdomen,patient00811,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00811_Plane2_2_of_2.png,Patient00811_Plane2_2_of_2.png,.png,45c574524ab831cdaa1f353e37617cb35d110949c49fd12d99ae7f6c2d131e6f,True,640,392,L,PNG,"(392, 640)",0.0,250.0,46.37741151147959,37.973298458927,107573,True,False,False,False
train,Abdomen,Fetal abdomen,patient00813,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00813_Plane2_1_of_1.png,Patient00813_Plane2_1_of_1.png,.png,1a20d3d132d512c19ffe7bd73f3d9ff1d0291bef1a89bb9ab9c7ed692f19193a,True,640,392,L,PNG,"(392, 640)",0.0,250.0,47.847361288265304,49.11059260825911,79090,True,False,False,False
train,Abdomen,Fetal abdomen,patient00815,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00815_Plane2_1_of_1.png,Patient00815_Plane2_1_of_1.png,.png,b6a384e8827d578727220cc49240ad012ea334aef0f9e2b2c3ecd27c23387265,True,1137,787,L,PNG,"(787, 1137)",0.0,255.0,34.13957012535496,40.50577738012052,210110,True,False,False,False
train,Abdomen,Fetal abdomen,patient00816,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00816_Plane2_1_of_1.png,Patient00816_Plane2_1_of_1.png,.png,85f7cf8f9471a9a0c8c6528668ea8b0111856698e2111aac1cc80d2e645b476a,True,1495,787,L,PNG,"(787, 1495)",0.0,255.0,25.691641345782003,39.264716202275444,213117,True,False,False,False
train,Abdomen,Fetal abdomen,patient00819,C:\Users\viraj\Downloads\patientsplit801010\train\Fetal abdomen\Patient00819_Plane2_1_of_1.png,Patient00819_Plane2_1_of_1.png,.png,bdd550183987b7f5b0786f2f5853966f24dc30d11c053357e0be7ab04436c0d4,True,959,661,L,PNG,"(661, 959)",0.0,255.0,78.09889588088954,48.7837874803325,259651,True,False,False,False
